"","x"
"1",132540
"2",132540
"3",132540
"4",132540
"5",132540
"6",132540
"7",132540
"8",132540
"9",132540
"10",132540
"11",132540
"12",132540
"13",132540
"14",132540
"15",132540
"16",132540
"17",132540
"18",132540
"19",132540
"20",132540
"21",132540
"22",132540
"23",132540
"24",132540
"25",132540
"26",132540
"27",132540
"28",132540
"29",132540
"30",132540
"31",132540
"32",132540
"33",132540
"34",132540
"35",132540
"36",132540
"37",132540
"38",132540
"39",132540
"40",132540
"41",132540
"42",132540
"43",132540
"44",132540
"45",132540
"46",132540
"47",132540
"48",132540
"49",132540
"50",132540
"51",132540
"52",132540
"53",132540
"54",132540
"55",132540
"56",132540
"57",132540
"58",132540
"59",132540
"60",132547
"61",132547
"62",132547
"63",132547
"64",132547
"65",132547
"66",132547
"67",132547
"68",132547
"69",132547
"70",132547
"71",132547
"72",132547
"73",132547
"74",132547
"75",132547
"76",132547
"77",132547
"78",132547
"79",132547
"80",132547
"81",132547
"82",132547
"83",132547
"84",132547
"85",132547
"86",132547
"87",132547
"88",132547
"89",132547
"90",132547
"91",132547
"92",132547
"93",132547
"94",132547
"95",132547
"96",132547
"97",132547
"98",132547
"99",132547
"100",132551
"101",132551
"102",132551
"103",132551
"104",132551
"105",132551
"106",132551
"107",132551
"108",132551
"109",132551
"110",132551
"111",132551
"112",132551
"113",132551
"114",132551
"115",132551
"116",132551
"117",132551
"118",132551
"119",132551
"120",132551
"121",132551
"122",132551
"123",132551
"124",132551
"125",132551
"126",132551
"127",132551
"128",132551
"129",132551
"130",132551
"131",132551
"132",132551
"133",132551
"134",132551
"135",132551
"136",132551
"137",132551
"138",132551
"139",132551
"140",132551
"141",132551
"142",132551
"143",132551
"144",132551
"145",132551
"146",132551
"147",132551
"148",132551
"149",132551
"150",132551
"151",132551
"152",132551
"153",132551
"154",132551
"155",132551
"156",132551
"157",132551
"158",132551
"159",132551
"160",132551
"161",132551
"162",132551
"163",132551
"164",132551
"165",132551
"166",132551
"167",132551
"168",132551
"169",132555
"170",132555
"171",132555
"172",132555
"173",132555
"174",132555
"175",132555
"176",132555
"177",132555
"178",132555
"179",132555
"180",132555
"181",132555
"182",132555
"183",132555
"184",132555
"185",132555
"186",132555
"187",132555
"188",132555
"189",132555
"190",132555
"191",132555
"192",132555
"193",132555
"194",132555
"195",132555
"196",132555
"197",132555
"198",132555
"199",132555
"200",132555
"201",132555
"202",132555
"203",132555
"204",132555
"205",132555
"206",132555
"207",132555
"208",132555
"209",132555
"210",132555
"211",132555
"212",132555
"213",132555
"214",132555
"215",132555
"216",132567
"217",132567
"218",132567
"219",132567
"220",132567
"221",132567
"222",132567
"223",132567
"224",132567
"225",132567
"226",132567
"227",132567
"228",132567
"229",132567
"230",132567
"231",132567
"232",132567
"233",132567
"234",132567
"235",132567
"236",132567
"237",132567
"238",132567
"239",132567
"240",132567
"241",132567
"242",132567
"243",132567
"244",132567
"245",132567
"246",132567
"247",132567
"248",132567
"249",132567
"250",132567
"251",132567
"252",132567
"253",132567
"254",132567
"255",132567
"256",132567
"257",132567
"258",132567
"259",132575
"260",132575
"261",132575
"262",132575
"263",132575
"264",132575
"265",132575
"266",132575
"267",132575
"268",132575
"269",132575
"270",132575
"271",132575
"272",132575
"273",132575
"274",132575
"275",132575
"276",132575
"277",132575
"278",132575
"279",132575
"280",132575
"281",132575
"282",132575
"283",132575
"284",132575
"285",132575
"286",132575
"287",132575
"288",132575
"289",132575
"290",132575
"291",132575
"292",132575
"293",132575
"294",132575
"295",132575
"296",132575
"297",132575
"298",132575
"299",132575
"300",132575
"301",132575
"302",132575
"303",132575
"304",132575
"305",132575
"306",132575
"307",132575
"308",132575
"309",132575
"310",132575
"311",132575
"312",132575
"313",132575
"314",132575
"315",132575
"316",132575
"317",132575
"318",132575
"319",132575
"320",132585
"321",132585
"322",132585
"323",132585
"324",132585
"325",132585
"326",132585
"327",132585
"328",132585
"329",132585
"330",132585
"331",132585
"332",132585
"333",132585
"334",132585
"335",132585
"336",132585
"337",132585
"338",132585
"339",132585
"340",132585
"341",132585
"342",132585
"343",132585
"344",132585
"345",132585
"346",132585
"347",132585
"348",132585
"349",132585
"350",132585
"351",132585
"352",132585
"353",132585
"354",132585
"355",132585
"356",132585
"357",132585
"358",132585
"359",132585
"360",132585
"361",132585
"362",132585
"363",132585
"364",132585
"365",132585
"366",132585
"367",132585
"368",132585
"369",132585
"370",132585
"371",132585
"372",132590
"373",132590
"374",132590
"375",132590
"376",132590
"377",132590
"378",132590
"379",132590
"380",132590
"381",132590
"382",132590
"383",132590
"384",132590
"385",132590
"386",132590
"387",132590
"388",132590
"389",132590
"390",132590
"391",132590
"392",132590
"393",132590
"394",132590
"395",132590
"396",132590
"397",132590
"398",132590
"399",132590
"400",132590
"401",132590
"402",132590
"403",132590
"404",132590
"405",132590
"406",132590
"407",132590
"408",132590
"409",132590
"410",132590
"411",132590
"412",132590
"413",132590
"414",132590
"415",132590
"416",132590
"417",132590
"418",132590
"419",132590
